word,x,y
bishop,1.316354,-0.9672626
bit,-0.04847299,-0.8119411
bite,1.1905549,-3.6978602
bites,-3.863968,-1.5333198
biting,1.2441907,1.7050529
bits,-1.2582079,2.3942564
bitten,-1.5210634,-1.1619196
bitter,0.6231332,0.40276688
bitterly,-2.0042017,-2.0349276
bitterness,2.2245004,1.0001179
bizarre,3.1215734,0.53973395
black,-0.1443392,1.7566165
blackandwhite,2.7569542,3.1212647
blackboard,0.49302238,2.196652
blackened,0.38946587,1.857532
blackhaired,2.4763823,0.01749389
blackmail,0.22345814,-2.4707968
blackness,-2.880934,0.12821577
blackthorn,1.6601034,0.68175286
blade,-0.47467974,2.089342
blaise,-0.8482915,-2.560693
blame,0.7623064,-0.53109604
blamed,1.6535951,-0.75929284
blaming,0.9753672,-0.30419728
blank,0.93865055,3.1357918
blanket,0.2131291,1.9877353
blankets,-0.40285438,2.0569386
blankly,-0.27111796,-3.7433548
blast,-0.76934636,3.4239428
blasted,-0.23054536,0.87933624
blastended,-0.21989158,-0.10798327
blasting,2.1246603,0.3607154
blaze,-1.2298617,1.2780744
blazed,-1.5641383,2.7218652
blazing,0.62241167,1.0961505
bleakly,-3.0454671,-2.2655368
blearily,-2.3012018,-2.782512
bleedin,2.551371,-1.8596001
bleeding,0.11161505,1.0494206
bless,1.2220384,-1.1827776
bletchley,-2.4273326,-1.0305115
blew,-0.3833096,0.07134189
blimey,-0.779829,-1.9643952
blind,-0.7788187,0.7375675
blinded,1.1925545,2.7941031
blinding,-0.28760913,2.4401324
blindly,-2.3396404,0.6490888
blink,1.0463574,-0.023525951
blinked,0.6603581,1.5460439
blinking,-0.05945011,1.1955175
blistered,-1.2473198,1.6023109
block,3.3216054,-0.78558177
blocked,-3.584029,-2.7700887
blocking,-1.1408437,1.2901003
bloke,0.21526138,-1.1448082
blond,2.3282278,0.24954917
blonde,-0.5170511,2.6239836
blood,0.27137578,0.26524347
bloodred,-1.795926,3.0059345
bloodshot,0.45429325,1.8485892
bloodstained,-0.9143802,1.5846103
bloody,1.3953031,0.672038
blotts,3.5884888,3.1099575
blouse,0.038495112,2.9126518
blow,-1.7899526,-2.2688873
blowing,-1.4320089,-0.37265638
blown,-1.1755173,-1.3409071
bludger,-2.547985,-0.84852386
bludgers,-2.0938258,-1.1730211
blue,-0.6456482,3.3839588
blunder,3.5572872,-1.2856367
blundered,1.2347296,-3.2141109
blundering,-2.8018842,1.0006846
blunt,-0.8471371,2.1946864
bluntly,1.3205668,-3.4465694
blur,0.3018992,1.5383773
blurred,-2.1747262,1.9665105
blurted,-1.2459358,-2.2150588
blushed,-2.5590482,-2.8901997
blushing,-0.26037332,-2.6148214
blustered,-2.1747034,4.1785765
boa,-3.2566464,1.8817399
board,0.4675191,3.3294055
boarded,1.5994407,0.43748185
boards,-2.607945,0.8062421
boarhound,-1.0187491,1.1695468
boars,3.998497,-1.8286034
boasting,0.7473382,-2.0695834
boat,0.3109694,3.1315863
boats,-2.7965598,1.5263836
bobbed,-2.0316467,1.5382508
bobbing,-2.1950383,2.156847
bode,1.96868,2.3361864
bodies,-0.9865529,2.1804852
body,-0.26051626,1.4032197
bodybind,1.9503956,4.417481
boggart,0.19411242,-0.15976879
boggarts,1.6063865,-1.0160966
bogrod,2.7543838,-2.0570061
boil,0.33900857,-2.8051364
boiled,-0.47256,0.84446895
boiling,0.48421073,1.1088368
boils,0.381911,-3.8871567
bole,-2.3410602,-1.2902286
bolt,-3.1455603,-0.62573
bolted,-3.5690691,0.9603433
bolts,0.7921547,3.0608964
bomb,2.5566063,3.710869
bond,2.65551,1.0425912
bonds,0.6455373,2.1335893
bone,1.4430867,1.1773926
bones,2.223453,1.1624093
bony,-0.14018786,1.8312126
book,-0.027168239,-0.08233139
bookcases,-1.6725283,1.5989181
booked,-1.6309369,-1.66145
booklist,0.6509122,1.8378633
books,-0.61584604,0.018738395
bookshelves,-2.1493785,-2.9806757
boomed,-1.3112515,-0.13969788
booming,0.6131321,1.2163385
boomslang,1.4574174,-3.5806384
boos,-2.431974,-0.79201084
boot,2.2126832,0.4586653
boots,0.6082785,1.2598124
bore,0.30805448,0.8127581
bored,0.16008852,0.032441765
borgin,1.5658033,-0.7577246
boring,1.5439258,-1.494638
born,0.36328512,-0.58928484
borne,-1.9307979,1.7575147
borrow,-0.15958463,-0.70277435
borrowed,0.54820186,-0.70835537
boss,1.7211479,-0.09857581
bother,0.41655377,-1.4745092
